"comparison","direct","indirect","p-value"
"ADA:BIME","2.01 (0.59, 6.83)","1.88 (0.71, 4.97)",0.936418985263049
"ADA:GUSEL","1.1 (0.54, 2.22)","1.13 (0.59, 2.14)",0.955526786310057
"ADA:PBO","1.19 (0.74, 1.92)","0.7 (0.35, 1.42)",0.22170649872479
"ADA:RISAN","0.89 (0.37, 2.16)","1.73 (0.92, 3.26)",0.234431421832085
"APRE:ETA","1.4 (0.28, 6.9)","1.01 (0.49, 2.08)",0.71762916836444
"APRE:PBO","0.85 (0.48, 1.52)","0.87 (0.14, 5.38)",0.986819637676572
"BIME:PBO","0.58 (0.2, 1.65)","0.47 (0.17, 1.32)",0.786138039403478
"BIME:USK","0.51 (0.15, 1.73)","0.56 (0.21, 1.47)",0.899746168343496
"BRODA:PBO","0.89 (0.5, 1.57)","2.04 (0.61, 6.82)",0.22046726794241
"BRODA:USK","1.5 (0.63, 3.55)","0.83 (0.39, 1.74)",0.30882608352898
"CERTO:ETA","2.56 (0.3, 21.74)","0.7 (0.26, 1.87)",0.280351803227629
"CERTO:PBO","0.61 (0.26, 1.39)","34.09 (0.45, 2600.84)",0.073520078506765
"ETA:IFX","1.09 (0.07, 16.39)","0.64 (0.28, 1.51)",0.718409120319253
"ETA:IXE","0.94 (0.48, 1.81)","0.82 (0.42, 1.61)",0.786440511755566
"ETA:PBO","0.74 (0.46, 1.18)","0.95 (0.47, 1.95)",0.552730497967585
"ETA:SECU","0.55 (0.15, 1.95)","0.79 (0.47, 1.32)",0.600380081518107
"ETA:TILDRA","1.39 (0.53, 3.61)","0.52 (0.14, 2.02)",0.248122024275728
"ETA:USK","0.8 (0.24, 2.64)","0.83 (0.49, 1.4)",0.959548999986702
"GUSEL:IXE","0.91 (0.47, 1.77)","1.08 (0.58, 2.02)",0.716496819365389
"GUSEL:PBO","1.07 (0.5, 2.28)","0.86 (0.55, 1.33)",0.622687395411989
"GUSEL:SECU","0.86 (0.55, 1.35)","0.84 (0.46, 1.53)",0.946361887453335
"IFX:PBO","1.22 (0.58, 2.59)","0.73 (0.05, 11.26)",0.718409120319252
"IXE:PBO","0.95 (0.54, 1.68)","0.87 (0.49, 1.54)",0.831031639511351
"IXE:USK","0.73 (0.18, 3.01)","0.97 (0.58, 1.63)",0.714214394989058
"PBO:RISAN","1.83 (0.93, 3.59)","1.11 (0.62, 1.97)",0.268030224800034
"PBO:SECU","0.89 (0.56, 1.41)","0.99 (0.63, 1.56)",0.745316057770203
"PBO:SONELO","1.08 (0.18, 6.42)","0.24 (0.01, 9.22)",0.464934718387714
"PBO:TILDRA","1.03 (0.4, 2.64)","1.96 (0.49, 7.88)",0.451868312598636
"PBO:USK","1.02 (0.65, 1.62)","1.05 (0.64, 1.72)",0.943462715786379
"RISAN:SECU","1.49 (0.54, 4.09)","0.55 (0.32, 0.95)",0.0871265575865003
"RISAN:USK","0.54 (0.27, 1.05)","1.03 (0.54, 1.94)",0.168259493709118
"SECU:SONELO","0.35 (0.02, 6.31)","1.3 (0.18, 9.15)",0.464934718387711
"SECU:USK","1.26 (0.7, 2.3)","1 (0.61, 1.64)",0.551354600257694
