Treatment,RR,CI_lower,CI_upper,pre_lower,pre_upper,WEIGHT,tau2,Reference
ADA,1.26467987,0.732655721,2.183037857,0.727171107,2.199503197,3.590411722,0,ETA
APRE,1.07057368,0.556542107,2.059373387,0.551552983,2.078001641,2.99599316,0,ETA
BIME,0.655484632,0.287874324,1.492526657,0.284632184,1.50952748,2.381962669,0,ETA
BRODA,1.295291839,0.682688985,2.457606592,0.676697127,2.479367626,3.060339029,0,ETA
CERTO,0.877426921,0.359616633,2.140829791,0.355228453,2.16727572,2.19741999,0,ETA
CICLO,7.108473646,0.39156769,129.0463919,0.376250931,134.2997276,0.676122161,0,ETA
DEUCRAVA,0.763364428,0.078480671,7.425079872,0.076061286,7.661259499,0.861582704,0,ETA
FUM,1.097875266,0.436644003,2.760441211,0.431137487,2.795697747,2.125781653,0,ETA
GUSEL,1.134985454,0.680984064,1.891662447,0.676212535,1.905010503,3.836846263,0,ETA
IFX,1.481489419,0.659066612,3.330180681,0.651759444,3.367516831,2.419816971,0,ETA
IXE,1.138658569,0.71124062,1.822932071,0.706648393,1.834778581,4.164936966,0,ETA
MTX,0.100010993,0.011226585,0.890938657,0.010893665,0.918166539,0.896206703,0,ETA
NETA,0.988695796,0.039982514,24.44867205,0.038255449,25.5524221,0.610983142,0,ETA
PBO,1.255310393,0.846096976,1.862439208,0.841514945,1.87258015,4.968261882,0,ETA
RISAN,0.916536952,0.517240487,1.624080104,0.513183381,1.636919696,3.426007659,0,ETA
SECU,1.334471815,0.82855519,2.149301635,0.823137385,2.163448116,4.112399436,0,ETA
SONELO,1.549432306,0.298811264,8.034303784,0.29211801,8.218392524,1.19088723,0,ETA
TILDRA,0.997379358,0.457105921,2.176225547,0.452223146,2.199722841,2.512124662,0,ETA
USK,1.213447524,0.749743592,1.963944621,0.744791073,1.977003953,4.070701349,0,ETA
ADA,1.042220487,0.640811569,1.695074803,0.636535821,1.706460986,4.029826054,0,USK
APRE,0.882257913,0.462579166,1.682693647,0.458486268,1.697715022,3.035621853,0,USK
BIME,0.540183748,0.253003439,1.153338009,0.250375681,1.165442592,2.584026079,0,USK
BRODA,1.067447758,0.60791487,1.874349145,0.603222119,1.888930594,3.481405873,0,USK
CERTO,0.723086003,0.299827001,1.743850178,0.296215823,1.76510952,2.226456719,0,USK
CICLO,5.858080801,0.325007629,105.5886313,0.312325228,109.8762045,0.677795266,0,USK
DEUCRAVA,0.629087301,0.065268694,6.063409741,0.063264551,6.255491063,0.865052841,0,USK
ETA,0.824098265,0.509179327,1.333789326,0.505815883,1.342658414,4.070701349,0,USK
FUM,0.904757102,0.368118142,2.223702995,0.36358965,2.251399112,2.179563594,0,USK
GUSEL,0.935339544,0.591230853,1.47972667,0.587509651,1.489099049,4.272916815,0,USK
IFX,1.22089286,0.550650888,2.706940838,0.544648753,2.73677185,2.461579542,0,USK
IXE,0.938366551,0.576503385,1.5273662,0.57265053,1.537642485,4.023323448,0,USK
MTX,0.082418886,0.009340064,0.727283344,0.009064272,0.749411834,0.900114174,0,USK
NETA,0.81478249,0.033163226,20.01827304,0.031733547,20.92014836,0.612216928,0,USK
PBO,1.034499117,0.737850862,1.450412919,0.73442672,1.457175228,5.800001913,0,USK
RISAN,0.755316512,0.475991254,1.198557809,0.472975613,1.206199682,4.244836963,0,USK
SECU,1.099735908,0.749705909,1.613191322,0.745762484,1.621721517,5.115565615,0,USK
SONELO,1.276884476,0.250115097,6.518734702,0.244565042,6.666668104,1.202264291,0,USK
TILDRA,0.821938599,0.354941572,1.903364142,0.350862654,1.925491508,2.334132202,0,USK
ADA,1.007463873,0.678289186,1.496387495,0.674605576,1.504558355,4.954277696,0,PBO
APRE,0.852835829,0.490083501,1.484091896,0.486360586,1.495452085,3.537961826,0,PBO
BIME,0.522169366,0.250948311,1.086521944,0.248429975,1.097536026,2.674873233,0,PBO
BRODA,1.031849849,0.616737534,1.72636503,0.612383895,1.73863833,3.808303245,0,PBO
CERTO,0.698972084,0.309498769,1.578558699,0.306047603,1.596359418,2.405921445,0,PBO
CICLO,5.662721896,0.320455903,100.064998,0.308035116,104.099882,0.682471386,0,PBO
DEUCRAVA,0.608108108,0.064711411,5.714532681,0.062746264,5.893505824,0.874837871,0,PBO
ETA,0.796615726,0.536930277,1.181897617,0.534022536,1.188333025,4.968261882,0,PBO
