,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,TE2,seTE2,event12,n12,event22,n22,incr,allstudies,unique_id,studlab.orig,year,rob,age,male,weight,pasi_score,sample_size,male_percentage,bmi,effect_size1,outcome1_direction,effect_size2,outcome2_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,r11,r12,rAE1,rAE2,nAE1,nAE2,r21,r22,dlqi1,dlqi2,sddlqi1,sddlqi2,ndlqi1,ndlqi2
0,ACCEPT_2010,ETA,USK,-0.5889475615441888,0.11022068225846607,80,347,231,347,-0.22170366625622218,0.608538901360067,4,556,8,556,0.0,0,1,ACCEPT_2010,2010,3,45.0,613.0,90.0,20.0,903,0.68,,RR,beneficial,RR,harmful,ETA,USK,ATA,AIL1223,80,231,243,378,347,556,4,8,0.0,0.0,,,347,556
1,Igarashi_2012,PBO,USK,-2.5006550067561393,0.9907809169522924,1,32,48,32,0.965080896043587,0.8911491600157773,2,126,3,126,0.0,0,2,Igarashi_2012,2012,2,45.0,126.0,72.0,30.0,160,0.79,26,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,1,48,21,79,32,126,2,3,-0.30000001,-7.7047625,5.3000002,6.4809489,32,126
2,Krueger_2007,PBO,USK,-3.1675825304806504,0.9954873508937588,1,64,95,64,-0.8109302162163288,1.044786993176653,1,256,9,256,0.0,0,3,Krueger_2007,2007,1,45.0,222.0,93.0,19.0,320,0.69,,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,1,95,48,200,64,256,1,9,-2.2,0.0,4.1999998,,64,256
3,PHOENIX1_2008,PBO,USK,-2.993773409068658,0.4462303040024539,5,255,200,255,-0.4035062436228313,0.8128887690679389,2,511,6,511,0.0,0,4,PHOENIX1_2008,2008,1,45.0,531.0,93.5,20.5,766,0.69,,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,5,200,122,277,255,511,2,6,-0.60000002,-8.3506851,5.9699998,6.6752596,255,511
4,PHOENIX2_2008,PBO,USK,-4.15366113937852,0.5764482611606074,3,410,382,410,0.20763936477824455,0.44526906510301284,8,820,13,820,0.0,0,5,PHOENIX2_2008,2008,1,47.0,840.0,91.0,19.5,1230,0.68,,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,3,382,202,412,410,820,8,13,-0.5,-9.6508541,5.6599998,6.9027977,410,820
5,PEARL_2011,PBO,USK,-3.3846680797109445,1.0001366026917102,1,60,30,60,1.6258317222097767,1.5385743114255286,2,61,0,61,0.5,0,6,PEARL_2011,2011,1,41.0,103.0,74.0,24.0,121,0.85,,RR,beneficial,RR,harmful,PBO,USK,PBO,AIL1223,1,30,42,40,60,61,2,0,-0.5,-11.2,6.5,7.0999999,60,61
6,FEATURE_2015,PBO,SECU,-4.155250438434989,1.4108516896688987,0,59,63,59,-0.6931471805599453,1.106605743337003,1,118,4,118,0.0,0,7,FEATURE_2015,2015,1,46.0,117.0,92.0,21.0,177,0.66,,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,0,63,28,64,59,118,1,4,0.0,0.0,,,59,118
7,ERASURE_2014,PBO,SECU,-3.7010499897341917,0.5756969042898817,3,248,240,248,-0.23531408693446484,0.5864528332346542,4,490,10,490,0.0,0,8,ERASURE_2014,2014,1,45.0,509.0,89.0,22.0,738,0.69,30,RR,beneficial,RR,harmful,PBO,SECU,PBO,AIL17,3,240,116,283,248,490,4,10,-1.1,-10.75,,,248,490
8,FIXTURE_2014,ETA,PBO,2.5952547069568657,0.4569358858846337,67,326,5,326,-0.6931471805599453,0.7027553135159113,3,326,6,326,0.0,0,9,FIXTURE_2014,2014,1,44.0,929.0,83.0,23.5,1306,0.71,34,RR,beneficial,RR,harmful,ETA,PBO,ATA,PBO,67,5,186,163,326,326,3,6,-7.9000006,-1.8999999,,,326,326
9,FIXTURE_2014,ETA,SECU,-0.8421005983280253,0.11633556932044598,67,326,312,326,-0.6030730140397697,0.6478008085762783,3,654,11,654,0.0,0,9,FIXTURE_2014,2014,1,44.0,929.0,83.0,23.5,1306,0.71,34,RR,beneficial,RR,harmful,ETA,SECU,ATA,AIL17,67,312,186,372,326,654,3,11,-7.9000006,-10.049999,,,326,654
