,Treatment,RR,CI_lower,CI_upper,Reference,Certainty_out1,within_study_out1,reporting_out1,indirectness_out1,imprecision_out1,heterogeneity_out1,incoherence_out1,Treatment_out2,RR_out2,CI_lower_out2,CI_upper_out2,Reference_out2,Certainty_out2,within_study_out2,reporting_out2,indirectness_out2,imprecision_out2,heterogeneity_out2,incoherence_out2
0,ADA,1.628224335,1.428355319,1.856060918,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,ADA,1.26467987,0.732655721,2.183037857,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
1,APRE,0.7216821,0.422730459,1.232049978,ETA,Low,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,APRE,1.07057368,0.556542107,2.059373387,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
2,BIME,2.84157971,2.504501767,3.224024577,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,BIME,0.655484632,0.287874324,1.492526657,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
3,BRODA,2.262709904,1.960784606,2.611126227,ETA,Moderate,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,BRODA,1.295291839,0.682688985,2.457606592,ETA,Low,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
4,CERTO,1.246505711,0.945801557,1.642814474,ETA,Low,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,CERTO,0.877426921,0.359616633,2.140829791,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
5,CICLO,0.658169242,0.122384168,3.539565275,ETA,Low,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,CICLO,7.108473646,0.39156769,129.0463919,ETA,Low,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
6,DEUCRAVA,1.313560335,0.185693316,9.29188403,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,DEUCRAVA,0.763364428,0.078480671,7.425079872,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
7,FUM,0.408871936,0.184374679,0.906720279,ETA,Moderate,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,FUM,1.097875266,0.436644003,2.760441211,ETA,Low,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
8,GUSEL,2.262972938,2.014806612,2.54170623,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,GUSEL,1.134985454,0.680984064,1.891662447,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
9,IFX,4.705395391,1.938766179,11.42001858,ETA,Moderate,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,IFX,1.481489419,0.659066612,3.330180681,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
10,IXE,2.834364262,2.544824087,3.156847191,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,IXE,1.138658569,0.71124062,1.822932071,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
11,MTX,0.651812779,0.131036246,3.242308242,ETA,Low,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,MTX,0.100010993,0.011226585,0.890938657,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns
12,NETA,0.421536311,0.190043497,0.935011533,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,NETA,0.988695796,0.039982514,24.44867205,ETA,Low,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
13,PBO,0.093916391,0.078337262,0.112593781,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,PBO,1.255310393,0.846096976,1.862439208,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
14,RISAN,2.69879041,2.351824055,3.09694497,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,RISAN,0.916536952,0.517240487,1.624080104,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
15,SECU,2.465405821,2.201611538,2.760807597,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,SECU,1.334471815,0.82855519,2.149301635,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
16,SONELO,2.386240085,1.855258945,3.069189753,ETA,High,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,SONELO,1.549432306,0.298811264,8.034303784,ETA,Moderate,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns
